V1,V2,V3
200071546,plomberie-chauffage-couverture&A la hausse&CDI,3
200071546,plomberie-chauffage-couverture&A la hausse&Apprentis,1
200071546,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
200071546,plomberie-chauffage-couverture&Stable&CDD,0
200071546,plomberie-chauffage-couverture&Stable&CDI,2.92857142857143
200071546,plomberie-chauffage-couverture&Stable&Apprentis,1
200071546,plomberie-chauffage-couverture&Stable&Intérimaires,1
200071546,menuiserie-charpente&A la hausse&CDD,1.16666666666667
200071546,menuiserie-charpente&A la hausse&CDI,7.4
200071546,menuiserie-charpente&A la hausse&Apprentis,1.66666666666667
200071546,menuiserie-charpente&A la hausse&Intérimaires,1
200071546,menuiserie-charpente&Stable&CDD,1.6
200071546,menuiserie-charpente&Stable&CDI,5.66666666666667
200071546,menuiserie-charpente&Stable&Apprentis,1.6
200071546,menuiserie-charpente&Stable&Intérimaires,1
200071546,maçonnerie-carrelage&A la hausse&CDD,1
200071546,maçonnerie-carrelage&A la hausse&CDI,4.66666666666667
200071546,maçonnerie-carrelage&A la hausse&Apprentis,1.57142857142857
200071546,maçonnerie-carrelage&A la hausse&Intérimaires,0
200071546,maçonnerie-carrelage&Stable&CDD,1.2
200071546,maçonnerie-carrelage&Stable&CDI,4.71428571428571
200071546,maçonnerie-carrelage&Stable&Apprentis,1.42857142857143
200071546,maçonnerie-carrelage&Stable&Intérimaires,1
200071546,Peinture&A la hausse&CDD,0
200071546,Peinture&A la hausse&CDI,4.75
200071546,Peinture&A la hausse&Apprentis,1.66666666666667
200071546,Peinture&A la hausse&Intérimaires,4.5
200071546,Peinture&Stable&CDD,1
200071546,Peinture&Stable&CDI,5.3
200071546,Peinture&Stable&Apprentis,2.33333333333333
200071546,Peinture&Stable&Intérimaires,1
200071546,Electricité&A la hausse&CDD,1
200071546,Electricité&A la hausse&CDI,4.875
200071546,Electricité&A la hausse&Apprentis,2.2
200071546,Electricité&A la hausse&Intérimaires,1.33333333333333
200071546,Electricité&Stable&CDD,1
200071546,Electricité&Stable&CDI,3.66666666666667
200071546,Electricité&Stable&Apprentis,1
200071546,Electricité&Stable&Intérimaires,2
200071546,plâtrerie-isolation&A la hausse&CDD,0
200071546,plâtrerie-isolation&A la hausse&CDI,0
200071546,plâtrerie-isolation&A la hausse&Apprentis,0
200071546,plâtrerie-isolation&A la hausse&Intérimaires,0
200071546,plâtrerie-isolation&Stable&CDD,0
200071546,plâtrerie-isolation&Stable&CDI,2.33333333333333
200071546,plâtrerie-isolation&Stable&Apprentis,1
200071546,plâtrerie-isolation&Stable&Intérimaires,0
248500530,plomberie-chauffage-couverture&A la hausse&CDD,1.33333333333333
248500530,plomberie-chauffage-couverture&A la hausse&CDI,16.75
248500530,plomberie-chauffage-couverture&A la hausse&Apprentis,2.75
248500530,plomberie-chauffage-couverture&A la hausse&Intérimaires,1
248500530,plomberie-chauffage-couverture&Stable&CDD,0
248500530,plomberie-chauffage-couverture&Stable&CDI,3.88888888888889
248500530,plomberie-chauffage-couverture&Stable&Apprentis,1.66666666666667
248500530,plomberie-chauffage-couverture&Stable&Intérimaires,1
248500530,menuiserie-charpente&Stable&CDD,0
248500530,menuiserie-charpente&Stable&CDI,4.6
248500530,menuiserie-charpente&Stable&Apprentis,1.33333333333333
248500530,menuiserie-charpente&Stable&Intérimaires,1
248500530,maçonnerie-carrelage&A la hausse&CDD,1
248500530,maçonnerie-carrelage&A la hausse&CDI,4
248500530,maçonnerie-carrelage&A la hausse&Apprentis,1
248500530,maçonnerie-carrelage&A la hausse&Intérimaires,0
248500530,maçonnerie-carrelage&Stable&CDD,0
248500530,maçonnerie-carrelage&Stable&CDI,3.14285714285714
248500530,maçonnerie-carrelage&Stable&Apprentis,1
248500530,maçonnerie-carrelage&Stable&Intérimaires,0
248500530,Peinture&A la hausse&CDD,0
