Nom;Pays;Date_debut;Date_fin;Ville;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Black Tide;Etats-Unis;2004;false;NA;1;0;0;Discover stage;0;0;0;0;0;0;0;0;0
Black Tusk;Etats-Unis;2005;false;Savannah;1;0;0;0;0;0;0;0;0;Valley;0;0;0
Blasphème;France;1981;false;NA;1;0;0;0;0;Main 02;0;0;0;0;0;0;0
BL'AST!;Etats-Unis;NA;NA;NA;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Blazing War Machine;France;2005;false;NA;1;0;0;Discover stage;0;0;0;0;0;0;0;0;0
Bleed;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Metal Corner
Bleeding Through;Etats-Unis;1999;true;Woodlake;1;0;0;Discover stage;0;0;0;0;0;0;0;0;0
Blind Guardian;Allemagne;1988;false;Krefeld;2;0;Gibson stage;0;0;0;0;0;0;0;0;Main 02;0
Blobfish Killer;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;Metal Corner;0
Blockheads;Angleterre;1992;false;NA;2;0;0;0;Terrorizer tent;0;0;0;0;Altar;0;0;0
Blood Ceremony;Canada;2006;false;Toronto;1;0;0;0;0;0;0;0;0;0;0;0;Valley
Blood Red Throne;Norvège;1999;false;NA;1;0;0;0;0;0;0;Altar;0;0;0;0;0
Bloodbath;Suède;NA;NA;NA;2;0;0;0;0;Rock Hard tent;0;0;0;0;Altar;0;0
Bloodsimple;Etats-Unis;2002;true;NA;1;Main;Main;0;0;0;0;0;0;0;0;0;0
Blue Öyster Cult;Etats-Unis;1987;false;NA;2;0;0;0;0;0;0;Main 01;0;0;0;0;Valley
Blues Pills;Suède;2011-12;false;Ames;1;0;0;0;0;0;0;0;0;Main 01;0;0;0
Body Count ft. Ice-T;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;0;Warzone;0;0
Bolt Thrower;Angleterre;1986;true;Coventry;1;0;0;0;0;0;Rock Hard tent;0;0;0;0;0;0
Bölzer;Suisse;2008;false;Zurich;1;0;0;0;0;0;0;0;0;0;Altar;0;0
Bongripper;Etats-Unis;2005;false;Chicago;1;0;0;0;0;0;0;0;0;0;0;0;Valley
Booze & Glory;Angleterre;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;Warzone
Borgne;Suisse;1998;false;NA;1;0;0;0;0;0;0;0;0;Temple;0;0;0
Born From Pain;Pays-Bas;1997;false;NA;2;Hard n'Heavy stage;0;Second stage;0;Terrorizer tent;0;0;0;0;0;0;0
